dc:identifier,dc:modified,ayto:type,ayto:latitude,ayto:longitude,ayto:NO2,ayto:ozone,ayto:odometer,ayto:altitude,ayto:temperature,ayto:CO,ayto:particles,ayto:course,ayto:speed,uri
3032,2021-08-27T07:44:57Z,AirQualityObserved,43.4488,-3.86758,25.0,11.0,,,25.1,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3032.csv
3055,2021-08-27T07:44:37Z,AirQualityObserved,43.458,-3.85411,115.0,23.0,,,23.7,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3055.csv
3025,2021-08-27T07:44:27Z,AirQualityObserved,43.4778,-3.79128,115.0,13.0,,,21.1,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3025.csv
3115,2021-08-27T07:44:00Z,AirQualityObserved,43.4682,-3.80962,86.0,53.0,,,26.5,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3115.csv
3026,2021-08-27T07:43:36Z,AirQualityObserved,43.4486,-3.86787,115.0,8.0,,,24.3,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3026.csv
3054,2021-08-27T07:43:03Z,AirQualityObserved,43.4614,-3.80708,115.0,92.0,,,24.9,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3054.csv
3068,2021-08-27T07:43:00Z,AirQualityObserved,43.4452,-3.85358,60.0,57.0,,,31.5,10.8,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3068.csv
3125,2021-08-27T07:43:00Z,AirQualityObserved,43.4399,-3.89176,116.0,120.0,,,21.2,0.3,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3125.csv
3056,2021-08-27T07:42:32Z,AirQualityObserved,43.457,-3.83142,114.0,120.0,,,24.5,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3056.csv
3020,2021-08-27T07:42:24Z,AirQualityObserved,43.4574,-3.83009,81.0,7.0,,,23.0,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3020.csv
3107,2021-08-27T07:42:00Z,AirQualityObserved,40.3721,-3.7522,116.0,70.0,,,40.2,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3107.csv
3122,2021-08-27T07:42:00Z,AirQualityObserved,41.4353,2.22745,82.0,3.0,,,33.0,0.2,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3122.csv
3102,2021-08-27T07:42:00Z,AirQualityObserved,43.4491,-3.87777,73.0,60.0,,,35.2,0.2,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3102.csv
3027,2021-08-27T07:41:57Z,AirQualityObserved,43.4479,-3.8685,52.0,6.0,,,22.3,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3027.csv
3123,2021-08-16T12:18:00Z,AirQualityObserved,38.719,-6.70898,115.0,119.0,,,35.1,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3123.csv
3109,2021-06-25T16:53:00Z,AirQualityObserved,39.7201,-3.29876,115.0,8.0,,,37.0,30.6,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3109.csv
3048,2021-05-06T16:00:53Z,AirQualityObserved,43.4618,-3.81288,115.0,51.0,,,19.2,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3048.csv
3057,2021-04-28T04:39:04Z,AirQualityObserved,43.4484,-3.86856,116.0,99.0,,,14.3,0.2,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3057.csv
3052,2021-02-17T12:22:54Z,AirQualityObserved,43.47,-3.82429,116.0,119.0,,,19.8,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3052.csv
3042,2021-02-08T04:30:24Z,AirQualityObserved,43.4482,-3.86801,301.0,110.0,,,16.9,15.2,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3042.csv
3010,2021-01-21T07:00:35Z,AirQualityObserved,43.4588,-3.82552,153.0,10.0,,,14.9,96.0,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3010.csv
3066,2020-10-28T07:33:45Z,AirQualityObserved,43.4518,-3.83215,115.0,120.0,,,21.2,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3066.csv
3045,2020-10-17T19:00:55Z,AirQualityObserved,43.4485,-3.86784,115.0,121.0,,,15.4,0.2,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3045.csv
3155,2020-10-06T09:18:00Z,AirQualityObserved,43.42,-3.84797,0.0,0.0,,,32.3,0.0,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3155.csv
3014,2020-09-24T04:54:58Z,AirQualityObserved,43.4482,-3.86758,114.0,120.0,,,16.8,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3014.csv
3017,2020-08-19T05:13:40Z,AirQualityObserved,43.4483,-3.8685,114.0,99.0,,,25.6,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3017.csv
3152,2020-08-09T01:43:00Z,AirQualityObserved,43.0224,-4.51277,83.0,120.0,,,22.0,2.5,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3152.csv
3035,2020-08-07T08:41:28Z,AirQualityObserved,43.4481,-3.86819,115.0,109.0,,,23.8,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3035.csv
3161,2020-06-09T05:05:00Z,AirQualityObserved,43.4648,-3.82435,70.0,38.0,,,19.1,0.3,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3161.csv
3038,2020-02-06T11:12:27Z,AirQualityObserved,43.4552,-3.83439,115.0,5.0,,,23.4,0.3,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3038.csv
3173,2019-10-31T20:37:43Z,AirQualityObserved,43.4622,-3.8008,115.0,46.0,,,35.6,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3173.csv
3067,2019-10-31T20:36:22Z,AirQualityObserved,43.4517,-3.83224,115.0,120.0,,,22.6,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3067.csv
3105,2019-10-27T05:49:20Z,AirQualityObserved,39.2154,-4.7882,83.0,19.0,,,10.5,0.3,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3105.csv
3062,2019-08-27T07:16:06Z,AirQualityObserved,43.4554,-3.83428,115.0,109.0,,,28.0,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3062.csv
3007,2019-03-22T19:11:54Z,AirQualityObserved,43.4615,-3.80975,116.0,12.0,,,14.6,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3007.csv
3169,2019-02-28T09:33:15Z,AirQualityObserved,43.4621,-3.83911,82.0,10.0,,,32.5,0.4,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3169.csv
3060,2019-02-07T07:56:38Z,AirQualityObserved,43.4554,-3.83431,116.0,67.0,,,11.0,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3060.csv
3072,2019-02-05T09:57:31Z,AirQualityObserved,43.452,-3.83223,116.0,120.0,,,19.2,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3072.csv
3120,2019-01-28T05:41:06Z,AirQualityObserved,43.4643,-3.83531,114.0,16.0,,,5.7,18.8,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3120.csv
3049,2019-01-23T22:32:13Z,AirQualityObserved,43.4554,-3.83363,113.0,104.0,,,6.3,0.2,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3049.csv
3108,2018-10-21T08:29:45Z,AirQualityObserved,43.4646,-3.8356,79.0,3.0,,,18.7,0.4,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3108.csv
3081,2018-09-12T18:26:33Z,AirQualityObserved,43.4673,-3.80611,212.0,592.0,,,23.5,12.7,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3081.csv
3177,2018-09-06T17:58:54Z,AirQualityObserved,43.4319,-3.83113,84.0,62.0,,,22.6,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3177.csv
3166,2018-07-28T08:54:38Z,AirQualityObserved,43.454,-3.86473,32.0,8.0,,,23.7,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3166.csv
3167,2018-07-16T06:35:55Z,AirQualityObserved,43.4649,-3.82449,42.0,32.0,,,17.7,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3167.csv
3080,2018-02-03T06:36:14Z,AirQualityObserved,43.4555,-3.83413,85.0,53.0,,,9.0,0.3,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3080.csv
3028,2018-01-18T13:08:03Z,AirQualityObserved,43.4411,-3.8878,60.0,105.0,,,12.2,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3028.csv
3033,2018-01-18T11:34:58Z,AirQualityObserved,43.4409,-3.88782,27.0,12.0,,,5.9,0.5,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3033.csv
3170,2017-10-30T07:30:07Z,AirQualityObserved,43.4619,-3.83923,115.0,42.0,,,30.2,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3170.csv
3003,2017-10-19T11:21:28Z,AirQualityObserved,43.4681,-3.7877,800.0,999.0,,,0.0,99.9,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3003.csv
3070,2017-10-19T11:21:28Z,AirQualityObserved,43.4785,-3.80134,999.0,999.0,,,0.0,99.9,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3070.csv
3004,2017-10-19T11:21:28Z,AirQualityObserved,43.4555,-3.83401,999.0,999.0,,,0.0,99.9,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3004.csv
3029,2017-10-19T11:21:12Z,AirQualityObserved,43.4554,-3.83427,999.0,999.0,,,0.0,99.9,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3029.csv
3041,2017-10-19T11:21:12Z,AirQualityObserved,43.4562,-3.83317,999.0,999.0,,,0.0,99.9,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3041.csv
3013,2017-10-19T11:20:31Z,AirQualityObserved,43.4556,-3.83373,999.0,999.0,,,0.0,99.9,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3013.csv
3075,2017-10-19T11:20:01Z,AirQualityObserved,43.4627,-3.82352,999.0,999.0,,,0.0,99.9,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3075.csv
3071,2017-10-19T11:20:01Z,AirQualityObserved,43.4556,-3.83416,999.0,999.0,,,0.0,99.9,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3071.csv
3040,2017-10-19T11:19:51Z,AirQualityObserved,43.4556,-3.83366,999.0,999.0,,,0.0,99.9,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3040.csv
3092,2017-10-19T11:19:45Z,AirQualityObserved,43.4685,-3.79757,999.0,999.0,,,0.0,99.9,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3092.csv
3012,2017-10-19T11:18:55Z,AirQualityObserved,43.4605,-3.82585,999.0,999.0,,,0.0,99.9,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3012.csv
3043,2017-10-19T11:18:14Z,AirQualityObserved,43.4586,-3.85141,999.0,999.0,,,0.0,99.9,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3043.csv
3172,2017-10-19T10:21:50Z,AirQualityObserved,43.4238,-3.85676,999.0,999.0,,,200.0,99.9,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3172.csv
3117,2017-10-16T01:46:09Z,AirQualityObserved,43.4677,-3.83619,999.0,999.0,,,200.0,99.9,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3117.csv
