id,name,recvTime,NO2,O3,SO2,CO,CO2,PM10,PM25,PM1
7376,Particulas-GilAlbert,2022-02-16T11:00:47.209Z,,,,,,1,1,2
7377,SondaCO2-ExteriorEduardoLatorre,2022-02-16T11:02:12.534Z,,,,,422,,,
7378,SondaCO2-ExteriorEduardoLatorre,2022-02-16T11:04:11.419Z,,,,,421,,,
7379,SondaCO2-ExteriorEduardoLatorre,2022-02-16T11:06:15.588Z,,,,,421,,,
7380,SondaCO2-ExteriorEduardoLatorre,2022-02-16T11:08:19.157Z,,,,,423,,,
7381,SondaCO2-ExteriorEduardoLatorre,2022-02-16T11:10:14.905Z,,,,,422,,,
7382,SondaCO2-ExteriorEduardoLatorre,2022-02-16T11:12:20.596Z,,,,,420,,,
7383,SondaCO2-ExteriorEduardoLatorre,2022-02-16T11:14:22.553Z,,,,,418,,,
7384,Particulas-Oliver,2022-02-16T11:16:10.551Z,,,,,,6,4,2
7385,Particulas-ZonaNortePolideportivo,2022-02-16T11:16:11.960Z,,,,,,9,8,2
7386,Particulas-GilAlbert,2022-02-16T11:16:11.173Z,,,,,,4,3,1
7387,SondaCO2-ExteriorEduardoLatorre,2022-02-16T11:16:16.189Z,,,,,418,,,
7388,Particulas-CantoPinyo,2022-02-16T11:16:12.610Z,,,,,,3,2,0
7389,SondaCO2-ExteriorEduardoLatorre,2022-02-16T11:18:20.698Z,,,,,419,,,
7390,SondaCO2-ExteriorEduardoLatorre,2022-02-16T11:20:20.262Z,,,,,421,,,
7391,SondaCO2-ExteriorEduardoLatorre,2022-02-16T11:22:23.746Z,,,,,423,,,
7392,SondaCO2-ExteriorEduardoLatorre,2022-02-16T11:24:20.937Z,,,,,424,,,
7393,Gases-Oliver,2022-02-16T11:26:10.234Z,11.991856,13.701394,0,163.61404,,,,
7394,Particulas-PaisValencia,2022-02-16T11:26:26.690Z,,,,,,3,3,2
7395,SondaCO2-ExteriorEduardoLatorre,2022-02-16T11:26:27.411Z,,,,,423,,,
7396,Gases-PaisValencia,2022-02-16T11:28:16.109Z,0,105.062164,0,96.38095,,,,
7397,Gases-PaisValencia,2022-02-16T11:28:17.135Z,0,113.802635,0,84.49837,,,,
7398,SondaCO2-ExteriorEduardoLatorre,2022-02-16T11:28:25.311Z,,,,,420,,,
7399,SondaCO2-ExteriorEduardoLatorre,2022-02-16T11:30:23.956Z,,,,,421,,,
7400,Particulas-GilAlbert,2022-02-16T11:30:46.768Z,,,,,,2,2,0
7401,Particulas-Oliver,2022-02-16T11:30:45.508Z,,,,,,6,3,2
7402,Particulas-CantoPinyo,2022-02-16T11:30:47.446Z,,,,,,2,2,1
7403,Particulas-ZonaNortePolideportivo,2022-02-16T11:30:48.117Z,,,,,,3,3,5
7404,SondaCO2-ExteriorEduardoLatorre,2022-02-16T11:32:29.502Z,,,,,421,,,
7405,SondaCO2-ExteriorEduardoLatorre,2022-02-16T11:34:29.963Z,,,,,422,,,
7406,SondaCO2-ExteriorEduardoLatorre,2022-02-16T11:36:32.590Z,,,,,422,,,
7407,SondaCO2-ExteriorEduardoLatorre,2022-02-16T11:38:33.170Z,,,,,423,,,
7408,SondaCO2-ExteriorEduardoLatorre,2022-02-16T11:40:32.544Z,,,,,425,,,
7409,SondaCO2-ExteriorEduardoLatorre,2022-02-16T11:42:38.199Z,,,,,423,,,
7410,SondaCO2-ExteriorEduardoLatorre,2022-02-16T11:44:31.37Z,,,,,423,,,
7411,Particulas-Oliver,2022-02-16T11:45:45.848Z,,,,,,5,3,0
7412,Particulas-ZonaNortePolideportivo,2022-02-16T11:45:48.534Z,,,,,,7,6,6
7413,Particulas-GilAlbert,2022-02-16T11:45:47.867Z,,,,,,1,1,0
7414,Particulas-CantoPinyo,2022-02-16T11:45:49.123Z,,,,,,2,1,1
7415,SondaCO2-ExteriorEduardoLatorre,2022-02-16T11:46:29.522Z,,,,,423,,,
7416,Gases-CantoPinyo,2022-02-16T11:48:16.673Z,0,41.830334,0,165.18243,,,,
7417,SondaCO2-ExteriorEduardoLatorre,2022-02-16T11:48:30.107Z,,,,,422,,,
7418,SondaCO2-ExteriorEduardoLatorre,2022-02-16T11:50:29.355Z,,,,,424,,,
7419,Gases-ZonaNortePolideportivo,2022-02-16T11:52:15.382Z,0,71.57305,0,107.08803,,,,
7420,Gases-ZonaNortePolideportivo,2022-02-16T11:52:15.816Z,0,62.468117,0,112.12696,,,,
7421,SondaCO2-ExteriorEduardoLatorre,2022-02-16T11:52:38.194Z,,,,,422,,,
7422,SondaCO2-ExteriorEduardoLatorre,2022-02-16T11:54:32.216Z,,,,,420,,,
7423,SondaCO2-ExteriorEduardoLatorre,2022-02-16T11:56:36.819Z,,,,,423,,,
7424,Gases-GilAlbert,2022-02-16T11:58:16.414Z,8.342953,25.568956,0,183.15378,,,,
7425,SondaCO2-ExteriorEduardoLatorre,2022-02-16T11:58:35.255Z,,,,,420,,,
7426,SondaCO2-ExteriorEduardoLatorre,2022-02-16T12:00:37.491Z,,,,,420,,,
7427,Particulas-GilAlbert,2022-02-16T12:00:46.723Z,,,,,,3,1,1
7428,Particulas-Oliver,2022-02-16T12:00:45.554Z,,,,,,3,1,1
7429,SondaCO2-ExteriorEduardoLatorre,2022-02-16T12:02:31.588Z,,,,,415,,,
7430,SondaCO2-ExteriorEduardoLatorre,2022-02-16T12:04:37.355Z,,,,,416,,,
7431,SondaCO2-ExteriorEduardoLatorre,2022-02-16T12:06:32.870Z,,,,,419,,,
7432,SondaCO2-ExteriorEduardoLatorre,2022-02-16T12:08:38.702Z,,,,,419,,,
7433,SondaCO2-ExteriorEduardoLatorre,2022-02-16T12:10:36.812Z,,,,,420,,,
7434,SondaCO2-ExteriorEduardoLatorre,2022-02-16T12:12:36.621Z,,,,,422,,,
7435,SondaCO2-ExteriorEduardoLatorre,2022-02-16T12:14:36.917Z,,,,,420,,,
7436,SondaCO2-ExteriorEduardoLatorre,2022-02-16T12:16:38.369Z,,,,,419,,,
7437,Particulas-Oliver,2022-02-16T12:17:02.593Z,,,,,,5,2,2
7438,Particulas-ZonaNortePolideportivo,2022-02-16T12:17:03.672Z,,,,,,7,6,2
7439,Particulas-CantoPinyo,2022-02-16T12:17:05.133Z,,,,,,3,1,0
7440,Particulas-GilAlbert,2022-02-16T12:17:04.440Z,,,,,,2,2,0
7441,SondaCO2-ExteriorEduardoLatorre,2022-02-16T12:18:37.618Z,,,,,420,,,
7442,SondaCO2-ExteriorEduardoLatorre,2022-02-16T12:20:39.983Z,,,,,422,,,
7443,SondaCO2-ExteriorEduardoLatorre,2022-02-16T12:22:39.37Z,,,,,423,,,
7444,SondaCO2-ExteriorEduardoLatorre,2022-02-16T12:24:41.802Z,,,,,419,,,
7445,SondaCO2-ExteriorEduardoLatorre,2022-02-16T12:26:36.568Z,,,,,418,,,
7446,Gases-Oliver,2022-02-16T12:28:10.82Z,21.216368,44.010532,0,135.58333,,,,
7447,Gases-PaisValencia,2022-02-16T12:28:16.518Z,0,112.12391,0,74.8298,,,,
7448,Gases-PaisValencia,2022-02-16T12:28:17.162Z,0,109.874374,0,82.467155,,,,
7449,SondaCO2-ExteriorEduardoLatorre,2022-02-16T12:28:40.662Z,,,,,422,,,
7450,Particulas-PaisValencia,2022-02-16T12:29:33.812Z,,,,,,6,4,1
7451,Particulas-GilAlbert,2022-02-16T12:30:46.792Z,,,,,,3,3,0
7452,Particulas-Oliver,2022-02-16T12:30:45.716Z,,,,,,7,4,2
7453,Particulas-ZonaNortePolideportivo,2022-02-16T12:30:47.148Z,,,,,,2,2,2
7454,Particulas-CantoPinyo,2022-02-16T12:30:47.619Z,,,,,,0,0,2
7455,SondaCO2-ExteriorEduardoLatorre,2022-02-16T12:30:47.804Z,,,,,422,,,
7456,SondaCO2-ExteriorEduardoLatorre,2022-02-16T12:32:42.6Z,,,,,423,,,
7457,SondaCO2-ExteriorEduardoLatorre,2022-02-16T12:34:49.109Z,,,,,426,,,
7458,SondaCO2-ExteriorEduardoLatorre,2022-02-16T12:36:44.843Z,,,,,424,,,
7459,SondaCO2-ExteriorEduardoLatorre,2022-02-16T12:38:44.298Z,,,,,426,,,
7460,SondaCO2-ExteriorEduardoLatorre,2022-02-16T12:40:48.616Z,,,,,421,,,
7461,SondaCO2-ExteriorEduardoLatorre,2022-02-16T12:42:50.105Z,,,,,419,,,
7462,SondaCO2-ExteriorEduardoLatorre,2022-02-16T12:44:53.453Z,,,,,417,,,
7463,Particulas-GilAlbert,2022-02-16T12:45:47.434Z,,,,,,3,3,1
7464,Particulas-CantoPinyo,2022-02-16T12:45:49.167Z,,,,,,3,3,1
7465,Particulas-Oliver,2022-02-16T12:45:46.334Z,,,,,,6,5,5
7466,Particulas-ZonaNortePolideportivo,2022-02-16T12:45:49.664Z,,,,,,2,2,3
7467,SondaCO2-ExteriorEduardoLatorre,2022-02-16T12:46:55.52Z,,,,,417,,,
7468,Gases-CantoPinyo,2022-02-16T12:48:15.681Z,0,42.063087,0,168.58542,,,,
7469,SondaCO2-ExteriorEduardoLatorre,2022-02-16T12:48:47.690Z,,,,,416,,,
7470,SondaCO2-ExteriorEduardoLatorre,2022-02-16T12:50:55.300Z,,,,,418,,,
7471,Gases-ZonaNortePolideportivo,2022-02-16T12:52:16.221Z,5.453624,81.11581,0,68.02556,,,,
7472,Gases-ZonaNortePolideportivo,2022-02-16T12:52:15.725Z,0,98.502014,0,81.548836,,,,
7473,SondaCO2-ExteriorEduardoLatorre,2022-02-16T12:52:58.459Z,,,,,419,,,
7474,SondaCO2-ExteriorEduardoLatorre,2022-02-16T12:54:59.215Z,,,,,420,,,
7475,SondaCO2-ExteriorEduardoLatorre,2022-02-16T12:56:57.266Z,,,,,423,,,
7476,Gases-GilAlbert,2022-02-16T12:58:16.519Z,8.342953,49.85156,0,170.31163,,,,
7477,SondaCO2-ExteriorEduardoLatorre,2022-02-16T12:58:56.437Z,,,,,421,,,
7478,Particulas-Oliver,2022-02-16T13:00:45.717Z,,,,,,12,8,4
7479,Particulas-GilAlbert,2022-02-16T13:00:46.780Z,,,,,,1,2,1
7480,Particulas-CantoPinyo,2022-02-16T13:00:48.475Z,,,,,,3,3,0
7481,Particulas-ZonaNortePolideportivo,2022-02-16T13:00:48.214Z,,,,,,3,5,3
7482,SondaCO2-ExteriorEduardoLatorre,2022-02-16T13:00:55.533Z,,,,,422,,,
7483,SondaCO2-ExteriorEduardoLatorre,2022-02-16T13:02:55.478Z,,,,,421,,,
7484,SondaCO2-ExteriorEduardoLatorre,2022-02-16T13:05:06.131Z,,,,,420,,,
7485,SondaCO2-ExteriorEduardoLatorre,2022-02-16T13:07:00.890Z,,,,,419,,,
7486,SondaCO2-ExteriorEduardoLatorre,2022-02-16T13:09:02.149Z,,,,,420,,,
7487,SondaCO2-ExteriorEduardoLatorre,2022-02-16T13:10:59.670Z,,,,,419,,,
7488,SondaCO2-ExteriorEduardoLatorre,2022-02-16T13:12:59.580Z,,,,,417,,,
7489,SondaCO2-ExteriorEduardoLatorre,2022-02-16T13:15:16.165Z,,,,,419,,,
7490,Particulas-GilAlbert,2022-02-16T13:15:49.413Z,,,,,,2,2,0
7491,Particulas-ZonaNortePolideportivo,2022-02-16T13:15:49.785Z,,,,,,5,5,5
7492,Particulas-Oliver,2022-02-16T13:15:48.944Z,,,,,,7,5,1
7493,Particulas-CantoPinyo,2022-02-16T13:15:50.227Z,,,,,,1,1,0
7494,SondaCO2-ExteriorEduardoLatorre,2022-02-16T13:17:04.743Z,,,,,417,,,
7495,SondaCO2-ExteriorEduardoLatorre,2022-02-16T13:19:06.267Z,,,,,419,,,
7496,SondaCO2-ExteriorEduardoLatorre,2022-02-16T13:21:07.810Z,,,,,420,,,
7497,SondaCO2-ExteriorEduardoLatorre,2022-02-16T13:23:10.839Z,,,,,423,,,
7498,SondaCO2-ExteriorEduardoLatorre,2022-02-16T13:25:08.555Z,,,,,423,,,
7499,SondaCO2-ExteriorEduardoLatorre,2022-02-16T13:27:11.681Z,,,,,423,,,
7500,Gases-Oliver,2022-02-16T13:28:09.654Z,21.216368,48.06591,0,135.48177,,,,
7501,SondaCO2-ExteriorEduardoLatorre,2022-02-16T13:29:11.378Z,,,,,421,,,
7502,Gases-PaisValencia,2022-02-16T13:30:16.36Z,0,110.47724,0,84.49837,,,,
7503,Gases-PaisValencia,2022-02-16T13:30:16.617Z,0,109.66754,0,68.95961,,,,
7504,Particulas-CantoPinyo,2022-02-16T13:30:47.563Z,,,,,,0,0,0
7505,Particulas-Oliver,2022-02-16T13:30:45.609Z,,,,,,3,2,1
7506,Particulas-GilAlbert,2022-02-16T13:30:46.672Z,,,,,,1,1,0
7507,Particulas-ZonaNortePolideportivo,2022-02-16T13:30:47.180Z,,,,,,5,5,4
7508,SondaCO2-ExteriorEduardoLatorre,2022-02-16T13:31:10.406Z,,,,,420,,,
7509,Particulas-PaisValencia,2022-02-16T13:32:40.931Z,,,,,,3,2,2
7510,SondaCO2-ExteriorEduardoLatorre,2022-02-16T13:33:08.846Z,,,,,420,,,
7511,SondaCO2-ExteriorEduardoLatorre,2022-02-16T13:35:18.572Z,,,,,420,,,
7512,SondaCO2-ExteriorEduardoLatorre,2022-02-16T13:37:11.564Z,,,,,421,,,
7513,SondaCO2-ExteriorEduardoLatorre,2022-02-16T13:39:18.131Z,,,,,423,,,
7514,SondaCO2-ExteriorEduardoLatorre,2022-02-16T13:41:19.65Z,,,,,422,,,
7515,SondaCO2-ExteriorEduardoLatorre,2022-02-16T13:43:18.329Z,,,,,422,,,
7516,SondaCO2-ExteriorEduardoLatorre,2022-02-16T13:45:25.863Z,,,,,422,,,
7517,Particulas-Oliver,2022-02-16T13:45:45.338Z,,,,,,4,2,3
7518,Particulas-GilAlbert,2022-02-16T13:45:46.756Z,,,,,,1,1,1
7519,Particulas-CantoPinyo,2022-02-16T13:45:47.213Z,,,,,,1,1,1
7520,Particulas-ZonaNortePolideportivo,2022-02-16T13:45:47.622Z,,,,,,5,5,11
7521,SondaCO2-ExteriorEduardoLatorre,2022-02-16T13:47:18.214Z,,,,,419,,,
7522,Gases-CantoPinyo,2022-02-16T13:48:15.521Z,15.485647,75.52334,0,108.747734,,,,
7523,SondaCO2-ExteriorEduardoLatorre,2022-02-16T13:49:18.266Z,,,,,420,,,
7524,SondaCO2-ExteriorEduardoLatorre,2022-02-16T13:51:18.35Z,,,,,420,,,
7525,Gases-ZonaNortePolideportivo,2022-02-16T13:52:15.276Z,0,104.46096,0,72.74148,,,,
7526,Gases-ZonaNortePolideportivo,2022-02-16T13:52:16.210Z,15.581783,128.045,0,53.42558,,,,
7527,SondaCO2-ExteriorEduardoLatorre,2022-02-16T13:53:17.270Z,,,,,420,,,
7528,SondaCO2-ExteriorEduardoLatorre,2022-02-16T13:56:28.1Z,,,,,418,,,
7529,SondaCO2-ExteriorEduardoLatorre,2022-02-16T13:57:12.651Z,,,,,420,,,
7530,SondaCO2-ExteriorEduardoLatorre,2022-02-16T13:59:25.697Z,,,,,423,,,
7531,Gases-GilAlbert,2022-02-16T14:00:28.271Z,14.368418,49.85156,0,130.56206,,,,
7532,Particulas-Oliver,2022-02-16T14:00:45.390Z,,,,,,5,3,0
7533,Particulas-ZonaNortePolideportivo,2022-02-16T14:00:47.645Z,,,,,,11,11,5
7534,Particulas-GilAlbert,2022-02-16T14:00:47.169Z,,,,,,2,2,4
7535,Particulas-CantoPinyo,2022-02-16T14:00:47.973Z,,,,,,1,1,0
7536,SondaCO2-ExteriorEduardoLatorre,2022-02-16T14:01:20.816Z,,,,,422,,,
7537,SondaCO2-ExteriorEduardoLatorre,2022-02-16T14:03:24.379Z,,,,,418,,,
7538,SondaCO2-ExteriorEduardoLatorre,2022-02-16T14:05:25.645Z,,,,,417,,,
7539,SondaCO2-ExteriorEduardoLatorre,2022-02-16T14:07:26.929Z,,,,,423,,,
7540,SondaCO2-ExteriorEduardoLatorre,2022-02-16T14:09:25.847Z,,,,,420,,,
7541,SondaCO2-ExteriorEduardoLatorre,2022-02-16T14:11:25.456Z,,,,,419,,,
7542,SondaCO2-ExteriorEduardoLatorre,2022-02-16T14:13:25.550Z,,,,,419,,,
7543,SondaCO2-ExteriorEduardoLatorre,2022-02-16T14:15:24.298Z,,,,,420,,,
7544,Particulas-Oliver,2022-02-16T14:15:45.323Z,,,,,,5,2,0
7545,Particulas-CantoPinyo,2022-02-16T14:15:47.389Z,,,,,,1,1,1
7546,Particulas-GilAlbert,2022-02-16T14:15:46.665Z,,,,,,7,6,0
7547,Particulas-ZonaNortePolideportivo,2022-02-16T14:15:47.731Z,,,,,,5,5,5
7548,SondaCO2-ExteriorEduardoLatorre,2022-02-16T14:17:27.997Z,,,,,423,,,
7549,SondaCO2-ExteriorEduardoLatorre,2022-02-16T14:19:36.350Z,,,,,420,,,
7550,SondaCO2-ExteriorEduardoLatorre,2022-02-16T14:21:30.36Z,,,,,421,,,
7551,SondaCO2-ExteriorEduardoLatorre,2022-02-16T14:23:35.644Z,,,,,420,,,
7552,SondaCO2-ExteriorEduardoLatorre,2022-02-16T14:25:36.828Z,,,,,422,,,
7553,SondaCO2-ExteriorEduardoLatorre,2022-02-16T14:27:35.53Z,,,,,421,,,
7554,Gases-Oliver,2022-02-16T14:28:10.108Z,34.130688,48.06591,0,135.48177,,,,
7555,SondaCO2-ExteriorEduardoLatorre,2022-02-16T14:29:36.509Z,,,,,423,,,
7556,Gases-PaisValencia,2022-02-16T14:30:16.353Z,0,110.993576,0,88.19517,,,,
7557,Gases-PaisValencia,2022-02-16T14:30:17.787Z,0,114.87231,0,85.89991,,,,
7558,Particulas-GilAlbert,2022-02-16T14:30:46.679Z,,,,,,2,1,0
7559,Particulas-Oliver,2022-02-16T14:30:45.415Z,,,,,,3,2,1
7560,Particulas-CantoPinyo,2022-02-16T14:30:47.289Z,,,,,,3,3,0
7561,Particulas-ZonaNortePolideportivo,2022-02-16T14:30:48.726Z,,,,,,5,5,29
7562,SondaCO2-ExteriorEduardoLatorre,2022-02-16T14:31:34.671Z,,,,,423,,,
7563,SondaCO2-ExteriorEduardoLatorre,2022-02-16T14:33:37.959Z,,,,,421,,,
7564,SondaCO2-ExteriorEduardoLatorre,2022-02-16T14:35:36.793Z,,,,,419,,,
7565,Particulas-PaisValencia,2022-02-16T14:35:52.434Z,,,,,,8,6,4
7566,SondaCO2-ExteriorEduardoLatorre,2022-02-16T14:37:42.955Z,,,,,419,,,
7567,SondaCO2-ExteriorEduardoLatorre,2022-02-16T14:39:47.844Z,,,,,420,,,
7568,SondaCO2-ExteriorEduardoLatorre,2022-02-16T14:41:43.257Z,,,,,419,,,
7569,SondaCO2-ExteriorEduardoLatorre,2022-02-16T14:43:45.736Z,,,,,419,,,
7570,SondaCO2-ExteriorEduardoLatorre,2022-02-16T14:45:39.726Z,,,,,419,,,
7571,Particulas-Oliver,2022-02-16T14:45:45.806Z,,,,,,4,3,0
7572,Particulas-GilAlbert,2022-02-16T14:45:46.998Z,,,,,,1,1,1
7573,Particulas-ZonaNortePolideportivo,2022-02-16T14:45:47.354Z,,,,,,43,35,9
7574,Particulas-CantoPinyo,2022-02-16T14:45:47.721Z,,,,,,1,1,0
7575,SondaCO2-ExteriorEduardoLatorre,2022-02-16T14:47:41.216Z,,,,,420,,,
7576,Gases-CantoPinyo,2022-02-16T14:48:15.555Z,20.84355,72.896935,0,101.3288,,,,
7577,SondaCO2-ExteriorEduardoLatorre,2022-02-16T14:49:37.620Z,,,,,420,,,
7578,SondaCO2-ExteriorEduardoLatorre,2022-02-16T14:51:41.675Z,,,,,419,,,
7579,Gases-ZonaNortePolideportivo,2022-02-16T14:52:16.90Z,21.424953,108.6112,0,33.183723,,,,
7580,Gases-ZonaNortePolideportivo,2022-02-16T14:52:16.413Z,10.0083,93.98564,0,33.635937,,,,
7581,SondaCO2-ExteriorEduardoLatorre,2022-02-16T14:53:46.512Z,,,,,419,,,
7582,SondaCO2-ExteriorEduardoLatorre,2022-02-16T14:55:50.288Z,,,,,421,,,
7583,SondaCO2-ExteriorEduardoLatorre,2022-02-16T14:57:48.509Z,,,,,420,,,
7584,SondaCO2-ExteriorEduardoLatorre,2022-02-16T14:59:47.78Z,,,,,419,,,
7585,Particulas-Oliver,2022-02-16T15:00:45.417Z,,,,,,3,0,1
7586,Particulas-GilAlbert,2022-02-16T15:00:46.653Z,,,,,,4,3,0
7587,Particulas-CantoPinyo,2022-02-16T15:00:47.439Z,,,,,,1,1,0
7588,Particulas-ZonaNortePolideportivo,2022-02-16T15:00:47.836Z,,,,,,9,9,3
7589,SondaCO2-ExteriorEduardoLatorre,2022-02-16T15:01:45.918Z,,,,,420,,,
7590,Gases-GilAlbert,2022-02-16T15:02:17.92Z,24.101868,73.27091,0,71.549225,,,,
7591,SondaCO2-ExteriorEduardoLatorre,2022-02-16T15:03:49.776Z,,,,,417,,,
7592,SondaCO2-ExteriorEduardoLatorre,2022-02-16T15:05:49.512Z,,,,,417,,,
7593,SondaCO2-ExteriorEduardoLatorre,2022-02-16T15:07:56.917Z,,,,,415,,,
7594,SondaCO2-ExteriorEduardoLatorre,2022-02-16T15:09:53.666Z,,,,,416,,,
7595,SondaCO2-ExteriorEduardoLatorre,2022-02-16T15:11:54.361Z,,,,,416,,,
7596,SondaCO2-ExteriorEduardoLatorre,2022-02-16T15:13:49.77Z,,,,,415,,,
7597,Particulas-Oliver,2022-02-16T15:15:45.389Z,,,,,,3,1,1
7598,Particulas-ZonaNortePolideportivo,2022-02-16T15:15:48.418Z,,,,,,4,4,8
7599,Particulas-CantoPinyo,2022-02-16T15:15:49.204Z,,,,,,1,1,0
7600,Particulas-GilAlbert,2022-02-16T15:15:48.841Z,,,,,,1,1,0
7601,SondaCO2-ExteriorEduardoLatorre,2022-02-16T15:15:55.75Z,,,,,417,,,
7602,SondaCO2-ExteriorEduardoLatorre,2022-02-16T15:17:48.850Z,,,,,418,,,
7603,SondaCO2-ExteriorEduardoLatorre,2022-02-16T15:19:59.189Z,,,,,420,,,
7604,SondaCO2-ExteriorEduardoLatorre,2022-02-16T15:21:57.515Z,,,,,418,,,
7605,SondaCO2-ExteriorEduardoLatorre,2022-02-16T15:23:58.938Z,,,,,417,,,
7606,SondaCO2-ExteriorEduardoLatorre,2022-02-16T15:25:54.307Z,,,,,421,,,
7607,SondaCO2-ExteriorEduardoLatorre,2022-02-16T15:27:55.729Z,,,,,422,,,
7608,Gases-Oliver,2022-02-16T15:28:09.590Z,36.436813,37.00051,0,135.27864,,,,
7609,SondaCO2-ExteriorEduardoLatorre,2022-02-16T15:30:10.761Z,,,,,418,,,
7610,Gases-PaisValencia,2022-02-16T15:30:16.862Z,8.822682,118.79872,0,62.82535,,,,
7611,Gases-PaisValencia,2022-02-16T15:30:16.17Z,0,107.69769,0,74.36263,,,,
7612,Particulas-Oliver,2022-02-16T15:30:45.299Z,,,,,,3,1,1
7613,Particulas-GilAlbert,2022-02-16T15:30:46.856Z,,,,,,1,1,0
7614,Particulas-CantoPinyo,2022-02-16T15:30:47.362Z,,,,,,2,2,0
7615,Particulas-ZonaNortePolideportivo,2022-02-16T15:30:47.736Z,,,,,,8,8,6
7616,SondaCO2-ExteriorEduardoLatorre,2022-02-16T15:32:00.240Z,,,,,416,,,
7617,SondaCO2-ExteriorEduardoLatorre,2022-02-16T15:33:58.360Z,,,,,415,,,
7618,SondaCO2-ExteriorEduardoLatorre,2022-02-16T15:35:56.841Z,,,,,416,,,
7619,SondaCO2-ExteriorEduardoLatorre,2022-02-16T15:37:58.324Z,,,,,420,,,
7620,Particulas-PaisValencia,2022-02-16T15:39:02.216Z,,,,,,16,13,0
7621,SondaCO2-ExteriorEduardoLatorre,2022-02-16T15:39:59.96Z,,,,,419,,,
7622,SondaCO2-ExteriorEduardoLatorre,2022-02-16T15:42:07.986Z,,,,,421,,,
7623,SondaCO2-ExteriorEduardoLatorre,2022-02-16T15:44:03.663Z,,,,,419,,,
7624,Particulas-GilAlbert,2022-02-16T15:45:46.778Z,,,,,,1,1,0
7625,Particulas-Oliver,2022-02-16T15:45:45.406Z,,,,,,5,2,1
7626,Particulas-CantoPinyo,2022-02-16T15:45:47.530Z,,,,,,0,0,2
7627,Particulas-ZonaNortePolideportivo,2022-02-16T15:45:47.153Z,,,,,,7,6,4
7628,SondaCO2-ExteriorEduardoLatorre,2022-02-16T15:46:04.873Z,,,,,419,,,
7629,SondaCO2-ExteriorEduardoLatorre,2022-02-16T15:48:08.352Z,,,,,418,,,
7630,Gases-CantoPinyo,2022-02-16T15:48:15.685Z,17.576536,61.838665,0,101.3288,,,,
7631,SondaCO2-ExteriorEduardoLatorre,2022-02-16T15:50:10.859Z,,,,,420,,,
7632,SondaCO2-ExteriorEduardoLatorre,2022-02-16T15:52:10.239Z,,,,,421,,,
7633,Gases-ZonaNortePolideportivo,2022-02-16T15:52:15.287Z,10.248019,99.573044,13.17798,88.20281,,,,
7634,Gases-ZonaNortePolideportivo,2022-02-16T15:52:15.784Z,8.749771,94.9104,1.68658,28.984617,,,,
7635,SondaCO2-ExteriorEduardoLatorre,2022-02-16T15:54:05.706Z,,,,,419,,,
7636,SondaCO2-ExteriorEduardoLatorre,2022-02-16T15:56:06.609Z,,,,,420,,,
7637,SondaCO2-ExteriorEduardoLatorre,2022-02-16T15:58:09.755Z,,,,,420,,,
7638,SondaCO2-ExteriorEduardoLatorre,2022-02-16T16:00:26.150Z,,,,,421,,,
7639,Particulas-Oliver,2022-02-16T16:00:45.321Z,,,,,,4,2,3
7640,Particulas-GilAlbert,2022-02-16T16:00:46.600Z,,,,,,2,1,0
7641,Particulas-ZonaNortePolideportivo,2022-02-16T16:00:46.937Z,,,,,,4,4,9
